model,objective,split,step,epoch,loss,actual_ratio,reward_accuracy,reward_margin,learning_rate,grad_norm
Qwen3-1.7B standard IPO,standard_ipo,train,1040,1.1517795319207866,1636.39765625,0.5349505130201578,0.8125,0.14131421146448703,3.0823181985972683e-07,420944.21875
Qwen3-1.7B standard IPO,standard_ipo,train,1050,1.162858329871209,1332.8806640625,0.544633275642991,0.8625,0.18046628789743407,3.063861203396087e-07,429270.46875
Qwen3-1.7B standard IPO,standard_ipo,train,1060,1.1739371278216313,1286.070703125,0.5496589675545692,0.875,0.2014561361633241,3.0454042081949055e-07,524934.3125
Qwen3-1.7B standard IPO,standard_ipo,train,1070,1.1850159257720536,1387.541796875,0.5449806671589613,0.8375,0.18226921577006577,3.0269472129937246e-07,389606.4375
Qwen3-1.7B standard IPO,standard_ipo,train,1080,1.1960947237224762,1419.22763671875,0.5431356344372034,0.825,0.17464524819515645,3.008490217792543e-07,280031.84375
Qwen3-1.7B standard IPO,standard_ipo,train,1090,1.2071735216728985,1382.2435546875,0.5465600337833166,0.875,0.18909570672549308,2.9900332225913623e-07,583173.3125
Qwen3-1.7B standard IPO,standard_ipo,train,1100,1.2182523196233208,1465.8171875,0.5379310820251704,0.85,0.1531358463689685,2.971576227390181e-07,532094.1875
Qwen3-1.7B standard IPO,standard_ipo,eval,1100,1.2182523196233208,2072.538818359375,0.5217496874984404,0.6836461126005362,0.08802188880212265,,
Qwen3-1.7B standard IPO,standard_ipo,train,1110,1.2293311175737434,1346.80771484375,0.5461626060307025,0.8875,0.18694502195576207,2.953119232189e-07,784686.875
Qwen3-1.7B standard IPO,standard_ipo,train,1120,1.2404099155241657,1247.72529296875,0.5487986862659454,0.85,0.1976438163081184,2.934662236987818e-07,353120.25
Qwen3-1.7B standard IPO,standard_ipo,train,1130,1.251488713474588,1213.65869140625,0.5520687468349934,0.8625,0.2111719439737499,2.9162052417866366e-07,434196.6875
Qwen3-1.7B standard IPO,standard_ipo,train,1140,1.2625675114250103,1263.05703125,0.5533960621803999,0.9,0.21703088420908898,2.8977482465854557e-07,441765.625
Qwen3-1.7B standard IPO,standard_ipo,train,1150,1.2736463093754327,1099.36201171875,0.5543739821761846,0.875,0.2202486997935921,2.8792912513842743e-07,338209.96875
Qwen3-1.7B standard IPO,standard_ipo,train,1160,1.2847251073258552,1266.590625,0.5514306776225567,0.8875,0.2091470397543162,2.8608342561830934e-07,705759.375
Qwen3-1.7B standard IPO,standard_ipo,train,1170,1.2958039052762775,1486.0583984375,0.5409843944013119,0.825,0.1663961137761362,2.842377260981912e-07,567801.375
Qwen3-1.7B standard IPO,standard_ipo,train,1180,1.3068827032266999,1157.4435546875,0.5515806976705789,0.9125,0.20877517862973036,2.823920265780731e-07,310394.21875
Qwen3-1.7B standard IPO,standard_ipo,train,1190,1.3179615011771224,1333.26943359375,0.543573709577322,0.825,0.17614324634196238,2.8054632705795497e-07,407211.875
Qwen3-1.7B standard IPO,standard_ipo,train,1200,1.3290402991275447,1367.7662109375,0.5449120454490185,0.8875,0.18224274769891052,2.7870062753783683e-07,529229.75
Qwen3-1.7B standard IPO,standard_ipo,eval,1200,1.3290402991275447,2084.15234375,0.5204601658573099,0.6943699731903485,0.08265710637927175,,
Qwen3-1.7B standard IPO,standard_ipo,train,1210,1.340119097077967,1407.9109375,0.5452808689326047,0.8375,0.1837275577359833,2.768549280177187e-07,718106.8125
Qwen3-1.7B standard IPO,standard_ipo,train,1220,1.3511978950283894,1233.66826171875,0.54881443195045,0.8625,0.1977177989552729,2.7500922849760055e-07,440169.03125
Qwen3-1.7B standard IPO,standard_ipo,train,1230,1.3622766929788117,1413.0587890625,0.5412884306162595,0.8875,0.16713047517114318,2.7316352897748246e-07,402399.3125
Qwen3-1.7B standard IPO,standard_ipo,train,1240,1.3733554909292343,1283.74814453125,0.5455806218087673,0.9,0.18439378701150416,2.713178294573643e-07,388913.65625
Qwen3-1.7B standard IPO,standard_ipo,train,1250,1.3844342888796566,1202.4884765625,0.551335334405303,0.9,0.20826333267614244,2.6947212993724623e-07,414665.84375
Qwen3-1.7B standard IPO,standard_ipo,train,1260,1.395513086830079,1162.0619140625,0.5523685608059168,0.9375,0.21228729048743844,2.676264304171281e-07,687578.0
Qwen3-1.7B standard IPO,standard_ipo,train,1270,1.4065918847805012,1142.49541015625,0.5548314984887839,0.9,0.22259494448080658,2.6578073089701e-07,347072.15625
Qwen3-1.7B standard IPO,standard_ipo,train,1280,1.4176706827309236,1259.881640625,0.5462665461003781,0.9125,0.1869369061430916,2.639350313768918e-07,412404.4375
